"","DxK","DxKP","ExK","ExKP","IK","IKxD","IKxE","IKxEP","KL","KP","KxD","KxE","KxEP","KxG","KxN","KxP","KxQ","KxS","LKxD","LKxE","LKxEP","MKxE","PKxE","TKxE","VK","VKxE"
"mRNA transcription",0.332127087880333,0.285828696007684,1.63805749528003e-08,NA,1.55873668315299,NA,0.971678069606815,2.01490829070458,0.166446037146986,1.33752219610962e-13,0.163065243767555,0.644428918806765,1.81079821084182,0.383477458063608,0.00152817412095069,0.205738693963636,NA,1.65356774261522e-06,0.14195529572758,0.0146041863176022,0.466665090232541,0.128041816449835,0.0966585193909917,NA,1.84689372710703e-06,1.26334555445866e-06
"mRNA transcription by RNA polymerase II",0.0663332871984178,0.344284555401404,1.63805749528003e-08,NA,1.09851583920905,NA,1.14512193156414,2.01490829070458,2.98876604461992e-08,1.33752219610962e-13,0.0532399520284042,0.112333458638509,1.10947539019136,0.238804695640523,NA,1.63642882767796e-05,NA,1.65356774261522e-06,NA,2.67982029931984e-05,NA,0.128041816449835,0.0493334678547376,NA,1.84689372710703e-06,1.26334555445866e-06
"myeloid leukocyte differentiation",2.53385857528371e-06,0.17661535647205,1.63805749528003e-08,4.34257884679025e-05,0.253290979050524,NA,0.393397752458476,0.149016190109606,0.0912398633333688,1.33752219610962e-13,3.07568796223611e-06,1.01031809406607,1.81598476129455,0.0239424186915973,7.81195514361514e-05,0.0402149846999643,0.0144024450623874,0.432593912779409,NA,0.485944451156388,1.86645021405065,0.100656861339104,0.054040196109833,0.19435486934264,0.00119738567083131,1.26334555445866e-06
"negative regulation of binding",0.837882669580578,1.34867428574537,1.63805749528003e-08,0.00864772484997259,0.882051024300809,NA,0.11547281577702,0.0712766226316006,0.325837260521286,0.492420839645756,3.07568796223611e-06,0.538347109984761,0.347533727402262,1.613476672532,0.987306865736659,0.097296323466075,0.00148663847359321,0.487939703754989,0.172166211637929,0.140580418405429,0.573429950051652,0.129752188819851,0.0927355614450281,0.129872169066601,0.843675013234485,0.414808957099765
"NLS-bearing protein import into nucleus",2.31071024482955,NA,1.94936712479468,NA,NA,NA,NA,NA,2.43402117143377,1.33752219610962e-13,NA,1.27663829558413,3.5511809785796,1.57795248086802,NA,0.232306353170696,3.28300121225226,1.65356774261522e-06,NA,NA,NA,NA,0.0966585193909917,0.189245112587625,1.84689372710703e-06,NA
"peptidyl-lysine modification",1.98719436422969,0.310884927174412,3.08861813109151,0.319835594363472,5.12244118131671,0.426854802363367,2.75030529321184,0.860985156154948,3.86214890329696,1.33752219610962e-13,2.16747049050348,9.58434822103739,1.81079821084182,1.50151079819992,0.987306865736659,3.00136999701343,0.409047182587197,2.51237060480738,0.0570752746416296,0.709649242386246,0.399150942172984,0.128041816449835,1.63088965328505,0.922621359917229,4.89444881061724,3.02924658785114
"peptidyl-serine modification",2.99828419573312,10.0857352482414,1.63805749528003e-08,4.34257884679025e-05,0.00840025457499977,0.392811271782428,0.0087521950148229,0.102112311819536,2.98876604461992e-08,1.33752219610962e-13,0.143832906841827,2.60594068604379e-11,0.0446798159955156,0.0239424186915973,0.00152817412095069,1.63642882767796e-05,0.0180596959409693,0.122151503218012,0.182980886435108,0.424513180816894,0.672276904760898,0.112088692964952,0.0141540288806373,0.129872169066601,1.84689372710703e-06,1.26334555445866e-06
"peptidyl-serine phosphorylation",2.69428886116023,10.0857352482414,1.63805749528003e-08,4.34257884679025e-05,0.0191185813883736,0.411723931482258,0.0129026431907112,0.105580102422931,2.98876604461992e-08,0.101268652734859,0.212098334984298,2.60594068604379e-11,0.0495700905707404,0.0436451300062694,0.00152817412095069,1.63642882767796e-05,0.0247319272289472,0.15645152971761,0.182980886435108,0.475662569471869,0.692145738272656,0.11246028673164,0.0163815150646569,0.130426126949154,1.84689372710703e-06,1.26334555445866e-06
"positive regulation of chromosome organization",2.65973223681344,1.7751817394669,3.56216014686016,0.00864772484997259,1.94536783401001,0.766844765528152,0.500950655348844,NA,3.56776352089089,1.87815241508786,3.50084384363684,4.51950837380253,0.0124569979061885,0.357184367112306,0.221633448803335,1.68268833437053,0.396883246533693,1.39470736660527,0.408178601730447,0.86486850463413,0.298713583142281,0.0820737681637704,0.0966585193909917,0.847740666099942,1.58848078590366,1.26334555445866e-06
"positive regulation of developmental process",2.53385857528371e-06,0.275047211773315,1.63805749528003e-08,4.34257884679025e-05,4.88019233642305,0.426644302560289,3.57889196306775,0.342100045240865,2.98876604461992e-08,1.33752219610962e-13,3.07568796223611e-06,1.19583060903653,0.66739246988242,0.0230788541302875,0.00936336160058413,0.0125870618427875,0.0269705087995689,0.0542730202326103,0.176949253025019,0.00340312740391036,0.887405943384814,0.128041816449835,0.000802110789348685,0.872915285479561,0.153838104937418,1.26334555445866e-06
